R022_3P	R044_3P	R022_12P	R044_12P	R046_12P	R046_3P	R058_12P	R058_3P	R085_12P	R085_3P	R171_3P	R171_12P	R209_3P	R209_12P	R212_3P	R212_12P	R218_3P	R218_12P	R219_12P	R219_3P	R225_3P	R225_12P	R227_3P	R227_12P	R243_12P	R243_3P	R256_3P	R256_12P	R280_12P	R291_12P	R280_3P	R306_12P	R291_3P	R308_12P	R306_3P	R312_12P	R308_3P	R312_3P	R317_12P	R317_3P	R330_12P	R330_3P	R334_12P	R334_3P	R345_3P	R345_12P	R356_3P	R356_12P	R358_3P	R358_12P	R361_12P	R361_3P	R364_12P	R364_3P	R382_12P	R382_3P	R393_12P	R393_3P	R438_12P	R438_3P	R479_12P	R479_3P
0	146	3	0	7	0	0	0	0	4	2	0	7	0	0	0	0	4	0	0	0	0	27	0	0	0	0	0	2	0	7	0	2	0	0	0	0	4	0	0	2	0	9	0	0	5	0	3	3	21	0	2	9	0	2	5	1	0	6	1	0	0
55333	349542	5062	3533	5976	1386	317	802	632	2494	7952	4930	5534	811	66	43	6478	3878	10330	4172	2348	590	16883	39	18	76	4774	307	43330	920	2134	34	2291	2069	26	293	1150	5871	963	2470	6358	995	13086	27	27	12196	82	3532	3303	14328	127	1305	17791	105	15879	4278	206	87	9010	2346	136	1384
86	163	28	48	98	40	6	11	7	10	225	1	131	12	0	0	37	57	95	10	12	4	39	9	0	8	122	0	198	18	76	0	56	31	1	32	22	56	16	58	56	69	113	0	17	158	12	103	70	110	2	47	160	0	49	136	0	8	61	60	0	10
56675	250736	6330	6321	17203	2313	3120	1547	2023	5931	9859	29142	17594	11492	114	294	32673	19523	27369	39965	16589	7295	84462	4946	123	278	19926	1702	109240	2022	25838	118	10631	6101	100	8381	7212	32777	20637	11154	45113	4179	14583	214	207	16638	1689	13959	7564	17763	363	6895	20723	6561	31361	11317	2815	746	12717	6996	601	12297
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1058	2353	65	62	183	24	26	11	24	75	263	393	157	82	3	7	187	126	378	158	111	39	658	9	0	12	229	5	1195	35	164	2	106	89	1	30	38	306	49	79	256	39	224	0	0	352	3	165	132	286	0	66	331	9	418	147	27	6	161	74	1	95
7380	43667	8	3	33	5	1	13	1	8	30	5	16	2	0	0	13	22	23	3	13	21	63	0	0	0	13	2	54	6	14	0	2	2	0	2	0	10	3	11	15	19	28	0	1	54	0	8	8	22	0	4	47	0	34	17	1	0	5	4	3	1
10504	54941	1927	1893	1281	505	143	332	212	879	2907	368	1929	162	15	20	801	1240	2609	294	192	45	1549	1	4	33	749	77	4196	157	544	8	263	1397	2	9	265	1459	112	398	853	121	2931	5	19	5140	62	990	1271	3916	9	524	4112	15	3024	1809	15	120	3043	564	7	44
0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	7	0	0	3	0	3	6	2	0	0	0	0	1	1	0	0	1	0	0	0
875	13095	203	161	217	81	10	23	27	82	306	301	90	7	1	4	320	90	711	375	105	11	846	7	2	4	373	42	407	37	29	3	187	129	0	9	108	335	34	95	277	44	277	0	5	252	13	62	131	434	2	35	345	17	811	98	6	3	93	78	0	112
0	0	2	19	17	0	8	1	7	6	22	16	46	0	0	0	11	12	3	0	0	0	43	0	0	0	0	0	21	0	12	0	18	17	0	0	7	11	0	14	0	4	55	0	0	22	1	24	7	47	0	9	54	0	10	22	0	1	55	13	0	0
0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	7	0	0	4	0	0	0	0	0	0	0	2	0	1	1	0	0	0	2	0	0	0	0	2	0	0	1	0	4	0	6	0	0	1	0	2	3	0	2	1	0	0	0
43810	225958	4702	3909	6124	1448	237	758	648	2156	7902	2716	7425	561	66	29	5944	3314	7435	2361	2331	213	19557	141	17	72	3764	204	34508	917	2128	33	1440	2012	19	269	934	3638	986	3586	6076	1090	14485	49	22	10384	78	2784	2871	17835	119	893	22555	656	10794	3411	173	98	14030	2803	315	790
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
39299	233361	2848	5075	4782	1270	660	734	862	2386	7731	1430	7538	629	37	52	2026	5318	3364	1143	887	341	5313	6	9	122	955	233	13173	935	2304	16	475	4927	18	51	984	1674	101	1399	7917	507	14648	53	48	12158	82	4291	3180	17461	86	1399	10252	36	5234	5080	111	137	23163	929	54	233
0	0	0	0	0	1	3	3	4	4	2	0	4	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	1	0	0	1	0	0	3	0	4	0	8	0	0	0	0	3	5	0	0	0	0	0	0
16231	85704	4901	13443	24236	3368	4402	3807	2879	8524	12604	7714	20663	3779	126	370	18843	21458	20838	3000	4503	2207	54142	107	118	1280	4419	1861	38993	2072	12246	91	1841	26614	72	394	13818	12567	2132	8582	14941	1732	21543	52	107	20636	300	13101	6638	40753	633	2853	36229	68	27739	10604	984	454	21227	5926	542	1668
5351	6992	93	101	110	32	30	13	3	8	404	282	67	8	2	0	15	37	95	65	102	35	238	0	2	5	114	7	514	1	31	0	11	159	0	0	14	38	31	56	237	34	104	0	0	100	2	57	159	347	4	15	148	0	120	29	3	0	51	91	0	7
335	585	0	9	7	0	4	1	0	4	30	1	34	13	0	3	3	14	7	0	3	1	1	0	0	0	22	9	0	2	21	0	0	25	1	1	2	8	0	3	16	4	29	0	0	27	0	9	32	23	0	4	17	0	6	8	0	1	10	2	0	0
393	1310	67	155	81	41	37	14	54	58	123	13	542	39	1	0	8	203	39	125	95	21	156	0	0	5	12	1	110	50	875	1	13	189	1	1	27	23	6	23	1436	47	590	2	0	230	2	205	121	733	1	56	133	0	24	176	0	0	409	15	1	33
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0
0	0	2	3	0	1	2	0	0	2	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	2	0	0	0	0	0	1	0	5	1	1	0	0	0	0	1	2	0	0	3	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
5839	26365	247	434	273	115	73	112	72	218	556	236	524	26	5	6	144	284	351	256	187	10	645	1	1	26	85	29	969	33	113	2	59	664	0	10	131	111	38	119	1896	42	742	13	3	1018	10	224	231	1232	15	81	514	1	341	312	9	19	1538	76	7	44
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	39	1	10	3	2	5	8	0	7	10	20	14	2	0	0	1	4	9	4	0	8	0	0	0	0	11	1	44	2	26	0	1	14	0	0	3	10	0	6	73	0	19	0	0	21	0	13	4	21	0	4	11	0	27	19	0	7	20	9	0	0
3	0	11	12	2	2	4	1	2	12	17	0	37	4	0	1	0	16	0	0	10	0	0	0	0	3	3	0	5	4	43	0	2	14	0	0	0	3	2	0	14	0	55	0	0	31	0	15	8	48	0	1	10	0	0	10	0	0	47	0	0	0
110	1477	9	112	59	31	21	32	12	61	83	1	118	4	0	3	16	105	18	8	4	7	131	0	0	10	20	8	55	7	55	0	13	112	0	0	12	29	4	11	103	3	104	0	2	99	9	108	38	206	0	15	90	0	37	91	0	6	105	10	0	0
63	692	1	3	0	0	0	0	0	0	3	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	5	0	0	2	0	0	0	0	4	10	0	0	3	0	0	0	3	1	0	2	0	0	2	0	0	10	1	0	0
132	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0
0	21	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2211	5428	37	46	174	5	17	3	5	31	100	196	187	21	0	4	81	52	154	7	61	14	364	0	0	1	65	21	262	7	39	2	5	56	0	5	30	92	31	69	226	36	118	0	0	119	0	54	53	191	18	7	236	0	192	83	3	0	106	67	0	34
0	83	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3542	8915	18	51	156	6	16	8	16	21	112	230	127	28	0	4	117	81	83	17	173	75	222	3	0	0	76	28	258	5	74	0	13	22	1	6	14	29	11	70	221	57	136	0	0	77	0	72	75	234	8	5	112	4	101	94	11	1	64	63	0	32
0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	0	0	3	0	0	0	0	0	1	0	0	0
0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	179	0	0	0	0	0	0	0	0	3	1	2	1	0	0	1	1	1	0	0	3	5	0	0	0	2	0	14	0	0	0	0	0	0	0	2	1	0	0	5	0	2	0	0	2	0	4	2	0	0	0	2	0	0	1	0	0	1	0	0	0
0	0	7	12	10	2	0	1	1	5	1	0	23	2	0	0	0	22	7	0	0	0	0	0	0	7	0	0	0	4	2	0	0	16	0	0	15	1	0	2	0	0	13	0	0	8	0	3	3	23	0	0	17	0	3	20	0	0	10	0	0	0
0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8902	37265	4	32	19	7	8	1	0	21	111	381	11	10	0	0	74	13	38	16	39	33	729	5	0	6	95	105	93	4	61	1	9	6	1	30	14	251	6	25	25	3	15	0	0	75	0	28	159	50	6	2	53	0	70	39	13	1	2	21	1	3
0	22	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	7	0	0	0	0	0	0	2	0	3	0	0	6	0	3	0	2	0	0	8	0	0	8	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	4	3	1	0	0	0	0	2	0	2	0	0	0	2	5	0	4	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	6	0	4	0	2	1	0	9	0	0	2	0	2	0	2	0	2	0	0	3	1	0	2	1	2	0	0
11613	71000	1569	1037	3906	226	1567	197	493	3738	23391	149768	1805	2641	71	108	13512	3037	10981	876	10652	9203	173167	733	588	443	14898	9689	46873	1114	13994	37	4640	959	49	9116	1367	48885	1906	3907	5901	1580	1864	20	21	13037	15	4487	13662	8171	234	1583	12647	157	14622	9311	3623	19	1606	2518	900	2529
0	27	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	13	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	110	4	11	14	1	2	0	3	0	9	0	12	8	0	0	10	17	13	0	0	0	0	0	4	0	0	0	27	0	46	0	0	9	0	9	1	6	0	9	5	11	24	0	0	23	0	15	7	17	0	0	18	0	16	7	0	0	18	6	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	0	2	11	3	4	1	2	0	2	8	10	3	0	0	0	12	5	10	25	8	0	28	0	0	1	1	0	28	0	0	0	0	8	0	0	7	3	0	2	0	1	1	0	2	9	0	1	7	5	0	1	3	0	8	12	0	0	1	1	0	0
1765	13555	162	345	249	86	39	88	47	158	410	102	145	18	2	4	119	194	247	2	62	15	231	1	1	22	140	9	195	48	39	1	9	489	0	9	159	125	8	95	142	34	345	2	0	575	0	223	169	501	9	69	323	0	231	233	1	7	289	30	2	46
0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
0	0	3	0	0	0	0	1	0	0	6	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	6	0	0	1	0	0	0	3	0	2	0	0	0	0	0	3	0	3	2	5	0	0	1	0	0	1	0	0	1	0	0	0
85	1099	1	6	0	0	0	1	2	0	2	0	4	1	0	0	0	2	1	0	5	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	2	0	4	0	0	2	0	2	7	3	0	0	1	0	0	0	0	0	1	0	0	0
14310	48649	3864	10524	8594	2522	832	1154	848	3172	10036	913	10742	1168	80	101	3452	4906	6384	815	922	360	5040	116	83	282	2343	673	5751	770	3487	43	297	7472	18	235	3758	3865	342	7319	3515	2514	13762	10	256	9830	580	3684	4022	20337	191	1309	20501	264	8523	5475	126	989	6060	5708	106	290
