8000/3,"Neoplasm, malignant"
8001/3,"Tumor cells, malignant"
8002/3,"Malignant tumor, small cell type"
8003/3,"Malignant tumor, giant cell type"
8004/3,"Malignant tumor, spindle cell type"
8005/3,"Malignant tumor, clear cell type"
8010/2,"Carcinoma in situ, NOS"
8010/3,"Carcinoma, NOS"
8011/3,"Epithelioma, malignant"
8012/3,"Large cell carcinoma, NOS"
8013/3,Large cell neuroendocrine carcinoma
8014/3,Large cell carcinoma with rhabdoid phenotype
8015/3,Glassy cell carcinoma
8020/3,"Carcinoma, undifferentiated type, NOS"
8021/3,"Carcinoma, anaplastic type, NOS"
8022/3,Pleomorphic carcinoma
8030/3,Giant cell and spindle cell carcinoma
8031/3,Giant cell carcinoma
8032/3,Spindle cell carcinoma
8033/3,Pseudosarcomatous carcinoma
8034/3,Polygonal cell carcinoma
8035/3,Carcinoma with osteoclast-like giant cells
8050/2,Papillary carcinoma in situ
8050/3,"Papillary carcinoma, NOS"
8051/3,"Verrucous carcinoma, NOS"
8052/2,"Papillary squamous cell carcinoma, non-invasive"
8052/3,Papillary squamous cell carcinoma
8070/2,"Squamous cell carcinoma in situ, NOS"
8070/3,"Squamous cell carcinoma, NOS"
8071/3,"Sq. cell carcinoma, keratinizing, NOS"
8072/3,"Sq. cell carcinoma, lg. cell, non-ker."
8073/3,"Sq. cell carcinoma, sm. cell, non-ker."
8074/3,"Sq. cell carcinoma, spindle cell"
8075/3,"Squamous cell carcinoma, adenoid"
8076/2,Sq. cell carc. in situ with question. stromal invas.
8076/3,"Sq. cell carcinoma, micro-invasive"
8078/3,Squamous cell carcinoma with horn formation
8081/2,Bowen disease
8082/3,Lymphoepithelial carcinoma
8083/3,Basaloid squamous cell carcinoma
8084/3,"Squamous cell carcinoma, clear cell type"
8140/2,Adenocarcinoma in situ
8140/3,"Adenocarcinoma, NOS"
8141/3,Scirrhous adenocarcinoma
8143/3,Superficial spreading adenocarcinoma
8147/3,Basal cell adenocarcinoma
8200/3,Adenoid cystic carcinoma
8201/2,Cribriform carcinoma in situ
8201/3,Cribriform carcinoma
8255/3,Adenocarcinoma with mixed subtypes
8260/3,"Papillary adenocarcinoma, NOS"
8261/2,Adenocarcinoma in situ in villous adenoma
8261/3,Adenocarcinoma in villous adenoma
8262/3,Villous adenocarcinoma
8263/2,Adenocarcinoma in situ in tubulovillous adenoma
8263/3,Adenocarcinoma in tubulovillous adenoma
8430/3,Mucoepidermoid carcinoma
8480/3,Mucinous adenocarcinoma
8481/3,Mucin-producing adenocarcinoma
8720/2,Melanoma in situ
8720/3,"Malignant melanoma, NOS"
8721/3,Nodular melanoma
8722/3,Balloon cell melanoma
8723/3,"Malignant melanoma, regressing"
8730/3,Amelanotic melanoma
8743/3,Superficial spreading melanoma
8745/3,"Desmoplastic melanoma, malignant"
8746/3,Mucosal lentiginous melanoma
8770/3,Mixed epithel. & spindle cell melanoma
8771/3,Epithelioid cell melanoma
8772/3,"Spindle cell melanoma, NOS"
8940/3,"Mixed tumor, malignant, NOS"
8941/3,Carcinoma in pleomorphic adenoma
9140/3,Kaposi sarcoma
9699/3,"Marginal zone B-cell lymphoma, NOS"
9823/3,Chronic lymphocytic leukemia/small lymphocytic lymphoma
8000/3,"Neoplasm, malignant"
8001/3,"Tumor cells, malignant"
8002/3,"Malignant tumor, small cell type"
8003/3,"Malignant tumor, giant cell type"
8004/3,"Malignant tumor, spindle cell type"
8005/3,"Malignant tumor, clear cell type"
8010/2,"Carcinoma in situ, NOS"
