"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"expression"
"RRM2B"	3.66400258766231	6.68679293533613	58.3771048790837	1.84721561224309e-13	5.05359618055805e-09	20.5806751624694	"Up"
"TNFRSF10B"	3.04890244686368	8.46201122895291	52.1827668731634	5.34275265504777e-13	5.05359618055805e-09	20.2613930988538	"Up"
"LRPAP1"	3.68266424177581	8.80175317083144	52.0709425069216	5.45234429320081e-13	5.05359618055805e-09	20.2677974999712	"Up"
"SLC12A4"	2.35491622017656	7.37657987085428	47.1253015471586	1.40173671651047e-12	9.74417278482252e-09	19.3184606272535	"Up"
"TSPAN11"	5.67630247824389	5.18310377979155	43.2856331448997	3.1307835970809e-12	1.74109137400863e-08	17.0422160830575	"Up"
"CYFIP2"	5.4464597931245	5.36774384104058	40.8166797443085	5.45325262612515e-12	2.4878709883279e-08	16.9753329922822	"Up"
"TP53I3"	4.41722312740696	7.90156941228415	39.9258040468111	6.71701302414043e-12	2.4878709883279e-08	17.946225303649	"Up"
"XPC"	2.17547934489167	6.90835786414969	39.6579898221753	7.15779612552081e-12	2.4878709883279e-08	17.8488614822362	"Up"
"TYMS"	3.65117395269852	5.47804758381965	38.8832083129868	8.62353246499408e-12	2.66428826357362e-08	17.2225956066948	"Up"
"PLXNB1"	3.09009247910498	6.88831974047185	37.5260216598955	1.20594314836491e-11	3.35324551834346e-08	17.3526911762198	"Up"
"EI24"	2.357651906119	7.27232559660514	34.6068324293914	2.58859104456332e-11	6.25037779398159e-08	16.6995001312664	"Up"
"FBXO22"	2.3810660950098	6.00850185116172	34.0487006605795	3.01732773435529e-11	6.25037779398159e-08	16.440506886108	"Up"
"TUBB6"	2.03020084751782	7.86492647217395	33.9211779133164	3.12594128911533e-11	6.25037779398159e-08	16.5475481659734	"Up"
"ABCB6"	2.34798462787031	4.8928571681516	33.8970276293385	3.14699306321449e-11	6.25037779398159e-08	16.1459621435398	"Up"
"ADAMTS7"	2.32135623975425	8.29447339573564	33.4660591165008	3.55026717061253e-11	6.30802749937347e-08	16.433458785658	"Up"
"IKBIP"	3.06657695502162	6.97334057082144	33.1029645924296	3.93456910424605e-11	6.30802749937347e-08	16.2758862085558	"Up"
"COL6A3"	-3.69190499574014	8.31841426751999	-32.8721584912453	4.2026382021084e-11	6.30802749937347e-08	16.2635714098372	"Down"
"PRKX"	2.71533219913384	4.87877537851637	32.8412572681376	4.24003472320805e-11	6.30802749937347e-08	15.8509020686485	"Up"
"DGKA"	2.87338162202258	5.13169832230306	32.5290350209979	4.63921211604480e-11	6.30802749937347e-08	15.8417638287209	"Up"
"GSTP1"	2.52102331874458	9.23998018970708	32.3147600984466	4.93713458922324e-11	6.30802749937347e-08	16.1164602852213	"Up"
"NADSYN1"	2.80835775965527	6.65456998047108	32.2273168413542	5.06473353746204e-11	6.30802749937347e-08	16.0215146321844	"Up"
"FADS1"	2.37238816920123	8.03995674652927	32.1300170046743	5.21101312871098e-11	6.30802749937347e-08	16.0538938508816	"Up"
"STAT6"	-2.08420507739766	6.26541992559574	-32.12561170594	5.21774554001258e-11	6.30802749937347e-08	15.9795134085931	"Down"
"PIDD1"	3.58841620976526	5.83890439980934	31.5996180892077	6.09513451046719e-11	7.06172125825211e-08	15.7152110557509	"Up"
"TAP1"	4.26874486106913	6.3855927094421	31.1107541614032	7.05856465538883e-11	7.85081795230968e-08	15.6313587054342	"Up"
"PCNA"	3.29870967456106	6.48072758846696	30.6900725422975	8.02330109791617e-11	8.58061193571758e-08	15.5642697179262	"Up"
"CEP170B"	3.29570624994881	6.68809816009185	30.2152064108452	9.29100448570908e-11	9.16689267773856e-08	15.4409565162853	"Up"
"SDC1"	6.33133201557587	5.96512076170161	30.1421706632737	9.50492025541216e-11	9.16689267773856e-08	15.0053857157624	"Up"
"PLK3"	4.3757297976807	5.61178360748134	30.0704214652113	9.72037577491925e-11	9.16689267773856e-08	15.1749089692938	"Up"
"TRIM35"	2.88163872496442	5.37712481398194	30.0150962171551	9.89019565317402e-11	9.16689267773856e-08	15.2436005667687	"Up"
"FUCA1"	4.3106435215824	6.36488354006597	29.4292502781608	1.19041789488903e-10	1.04855702174124e-07	15.1454689572238	"Up"
"CDIP1"	2.54613872386471	6.84459092453607	29.386724072233	1.2067116699892e-10	1.04855702174124e-07	15.2070799699966	"Up"
"MORC4"	2.11223884250527	6.02995560999812	29.2413942742456	1.26428087904796e-10	1.06529073099417e-07	15.1278358437934	"Up"
"FAS"	3.80966375282312	4.76194951743895	28.415985750765	1.65463144772507e-10	1.35319653045421e-07	14.5164074425325	"Up"
"HRAS"	3.07964764758652	5.59308339909001	27.8762065174699	1.98121575259022e-10	1.57399100618639e-07	14.6358378068473	"Up"
"EDEM1"	2.38421823141117	6.33314891007382	27.739605354776	2.0747433708128e-10	1.60250872691168e-07	14.6656627240635	"Up"
"TIGAR"	3.3143324340888	5.80975739308785	27.6419465951411	2.14459504216346e-10	1.61169215519992e-07	14.5780835156335	"Up"
"AEN"	2.9925169878829	6.42268020833161	27.4470319422752	2.29190646846667e-10	1.63533103057162e-07	14.5660212029306	"Up"
"CES2"	2.35458155795584	7.28230547925389	27.4447775039712	2.29367439373852e-10	1.63533103057162e-07	14.5835815820108	"Up"
"SH3D19"	-4.27050008850654	5.28179199507167	-27.2865686489972	2.42158441529391e-10	1.64172222393306e-07	14.3116643355403	"Down"
"HSPA4L"	5.60704851189573	2.5449880735018	27.1701869983566	2.52070479084961e-10	1.64172222393306e-07	11.8766701328814	"Up"
"ZDHHC9"	1.77618923578802	6.22625471681901	27.1666188447983	2.52381368975671e-10	1.64172222393306e-07	14.4765736994539	"Up"
"GPX1"	3.48753384983887	9.35300586245509	27.1494790341994	2.538806575168e-10	1.64172222393306e-07	14.4608080606888	"Up"
"TRAF4"	1.74974457544565	6.83449908385136	26.9531760692612	2.71771662411616e-10	1.7126480158724e-07	14.4137148556227	"Up"
"ZCCHC24"	-1.7183362279667	6.64038291011223	-26.8967632566221	2.77167376516787e-10	1.7126480158724e-07	14.3928737766557	"Down"
"UNC5B"	-1.33409689094835	6.66358248888428	-26.7780413145159	2.88913373082123e-10	1.73198128912234e-07	14.3524970290129	"Stable"
"EIF4B"	-1.72017462831102	8.4225497150345	-26.740376869094	2.92753796262497e-10	1.73198128912234e-07	14.3256327030045	"Down"
"FAM219A"	2.21125709802896	5.09787924592013	26.5699213048663	3.10853335374691e-10	1.80074746738097e-07	14.1925483089137	"Up"
"IGBP1"	-1.53050194820718	5.40568435222352	-26.4770306972062	3.2123435397595e-10	1.82290662176638e-07	14.2104705412203	"Down"
"VWCE"	5.08063123680388	4.79088343895951	26.4092640546552	3.29049059545667e-10	1.82990762994536e-07	13.7326077313635	"Up"
"STK17A"	3.10107566132756	4.86185251411393	26.3054697994564	3.41428467917918e-10	1.86152156449522e-07	14.010615082677	"Up"
"CHST14"	1.96295566143623	6.48762319810901	26.2016858971797	3.54322749712461e-10	1.89467276509705e-07	14.1479506416894	"Up"
"PERP"	4.69607322100245	5.78692193315472	26.1293249448901	3.63630871158082e-10	1.90775849121163e-07	14.0083610192622	"Up"
"TTYH3"	1.27203996571142	10.0237316355484	26.0211225623984	3.78057099829846e-10	1.94671402182754e-07	14.0252491877841	"Stable"
"OSBP2"	-5.37250642202027	2.77517503475461	-25.9295517846903	3.90760347918405e-10	1.97554222440349e-07	12.0758305519977	"Down"
"MBOAT7"	1.80094621869944	7.97480012701025	25.7157806197454	4.22290039986122e-10	2.0918317601103e-07	13.9605916848252	"Up"
"ROGDI"	-1.99659096929624	5.29170306192016	-25.6737868392142	4.28808208035269e-10	2.0918317601103e-07	13.9190849255447	"Down"
"ETV5"	2.49017796172521	4.93043974816002	25.4683963113452	4.6233047895202e-10	2.20028438941003e-07	13.7898821958328	"Up"
"DUSP6"	2.57275188787984	5.74325653897271	25.4418748795057	4.6686606838521e-10	2.20028438941003e-07	13.853347802101	"Up"
"RETSAT"	2.36734058359664	6.38345428455187	25.3265322737223	4.87171049404605e-10	2.25771303329074e-07	13.8310804954307	"Up"
"SESN1"	3.11874352533475	5.33258196312283	25.2749960489491	4.96557015234691e-10	2.26348596157636e-07	13.7462705397753	"Up"
"FAM43A"	3.16886186652383	5.83055593813902	25.0266073251958	5.44684594917255e-10	2.44282255584987e-07	13.6988217303568	"Up"
"NOL6"	1.55682921983752	6.22318252361021	24.9171425864264	5.67510511280851e-10	2.50479321851989e-07	13.6798552321186	"Up"
"LMF2"	2.66743601262004	8.20400698704047	24.7034851514687	6.15167478551634e-10	2.6333931284727e-07	13.5741408537683	"Up"
"MAF"	-1.86193098592285	5.94081399621379	-24.7016797401857	6.15588554091655e-10	2.6333931284727e-07	13.59639661709	"Down"
"MDM2"	3.06453593477923	7.34190906593388	24.6444505797866	6.29102390163143e-10	2.65042743346611e-07	13.5713199715038	"Up"
"EPHA2"	3.69933649499192	7.12952588872073	24.4471203484923	6.78271255530903e-10	2.814926944969e-07	13.5006949638341	"Up"
"AL135905.2"	2.16809128073989	7.19312266581712	24.3409058481732	7.06481915161184e-10	2.88888766661351e-07	13.4526870628635	"Up"
"TFDP2"	-1.98071464718967	5.07621976863078	-24.1871450643973	7.49642596860053e-10	3.0209510214914e-07	13.3707814728031	"Down"
