p_val avg_log2FC pct.1 pct.2 p_val_adj
USP9Y 0 0.824452774486498 0.718 0.3 0
H19 0 -1.91001273272718 0.238 0.564 0
ABCA1 0 -1.4822028730813 0.496 0.771 0
CTNND2 0 1.28585844321122 0.861 0.506 0
PDE3A 0 -1.43901153375282 0.197 0.613 0
A2M 0 -1.51511038963476 0.559 0.835 0
TTTY14 0 1.03796957209589 0.71 0.252 0
UTY 0 0.717295120515918 0.776 0.346 0
NALF1 0 1.42350002051833 0.778 0.366 0
TPTE2P4 0 0.619520085529099 0.243 0.003 0
NEAT1 0 -1.16504048847572 0.771 0.923 0
HERC2P3-dup1 0 -1.20238478542469 0.011 0.477 0
ARHGAP6 6.99754440084948e-308 0.846323624612677 0.94 0.838 2.42247989613008e-303
IGF2 2.56622278176499e-297 -1.60398401949625 0.103 0.423 8.88400664819221e-293
FBXO32 1.44294305559201e-295 -1.0108521913903 0.447 0.715 4.99532456415399e-291
NAV1 5.59717530324773e-293 0.892897143201198 0.799 0.577 1.93768611823133e-288
MTUS1 2.95321906773483e-290 -0.896907411382979 0.447 0.718 1.02237490905912e-285
ENSG00000189229 3.59783785416164e-277 -1.10395563585268 0.073 0.381 1.24553548673222e-272
PDE10A 3.16999155887063e-251 0.750345010571434 0.894 0.75 1.09741937776542e-246
BACH1 1.73240743464957e-243 -0.857820225886239 0.545 0.745 5.99742129801333e-239
MYRFL 2.14576632913555e-243 0.695519734255265 0.403 0.145 7.42842845483435e-239
LAMB1 2.06958353343608e-239 0.643659984450357 0.911 0.755 7.16469123440235e-235
ENSG00000288016 4.53593988410092e-236 -0.804032031454696 0.007 0.248 1.5702970284769e-231
MYH6 1.32084559167911e-235 -1.39277578391196 0.679 0.824 4.57263535383391e-231
ENSG00000289950 1.42730274785525e-232 0.919456291675408 0.937 0.871 4.94117938280007e-228
KCNIP4 9.81981494039446e-229 -0.784374520315767 0.811 0.94 3.39952173421516e-224
PTPRK 1.14523204695217e-222 -0.761294345395707 0.724 0.87 3.96467882334373e-218
ANOS2P 2.1218654463785e-222 0.559700151358627 0.382 0.13 7.34568598881772e-218
PLN 3.18968503823674e-221 -0.732212666160007 0.658 0.817 1.10423706338718e-216
LINC02864 6.20120590178645e-219 -0.591578517878111 0.003 0.225 2.14679547113945e-214
FNIP2 2.64484278608531e-214 -0.78324181787664 0.63 0.801 9.15618124114875e-210
PCDH7 2.44948997451878e-208 0.38450796764444 0.999 0.998 8.47988934278656e-204
EPHA7 2.06434747337342e-204 0.5929388397077 0.961 0.85 7.14656451807146e-200
COL3A1 3.7086795140844e-202 -1.31284878652359 0.283 0.569 1.28390776098088e-197
CTNNA3 2.94565309535016e-194 0.304721443153594 0.999 0.999 1.01975564507927e-189
KCNQ5 9.74046069351198e-194 0.517907938309196 0.992 0.964 3.37205008748691e-189
XIST 1.84591796069708e-193 -1.22686177207607 0.009 0.212 6.39038338813722e-189
MTUS2 2.561049224403e-193 0.595431331732118 0.955 0.859 8.86609630996076e-189
MEIS2 1.12945575777e-190 0.630380589174823 0.937 0.838 3.91006288782398e-186
SORBS2 1.97353917175321e-187 0.540916125356844 0.999 0.98 6.83219525869245e-183
FREM2 7.8017178808987e-187 -0.737849218526208 0.118 0.368 2.70087671318832e-182
MYOF 1.14875898722726e-184 -0.758378960373136 0.34 0.585 3.97688873788205e-180
ENSG00000291065 1.77889002459761e-184 -0.526274418342014 0.004 0.197 6.15833937615448e-180
PPARGC1A 5.18623099954388e-183 -0.73451079337136 0.627 0.789 1.79542130973209e-178
TANC2 9.97932438283258e-182 0.544560520947524 0.914 0.82 3.45474230809281e-177
ST6GALNAC3 1.49137781634785e-181 -1.09146672119241 0.174 0.432 5.16300086241462e-177
PLXNA2 3.47724110204377e-181 0.613532826189352 0.948 0.906 1.20378609711653e-176
EYA4 6.02808349680398e-181 0.838836408183414 0.267 0.08 2.08686222575857e-176
PAX8-AS1 2.21254161259427e-180 0.325744569946231 0.177 0.03 7.65959780864012e-176
NCAM1 3.54715893951522e-174 0.425330168751065 0.991 0.959 1.22799095327077e-169
CHRM2 9.80321682797826e-168 0.455757875216205 0.994 0.988 3.3937756336778e-163
P3H2 6.73838228174716e-164 0.628690374630814 0.823 0.663 2.33276056211805e-159
KHDRBS3 2.13275860020421e-161 0.537404965224288 0.225 0.062 7.38339699804696e-157
