p_val	avg_log2FC	pct.1	pct.2	p_val_adj
0	3.15462118973923	0.545	0.114	0
0	2.62232629786071	0.679	0.308	0
0	2.54631991130869	0.378	0.075	0
2.28872599858613e-246	2.49732766984977	0.407	0.198	7.92334053450531e-242
2.23715475928894e-209	2.0089129251662	0.31	0.118	7.74480606118239e-205
0	1.877039179013	0.549	0.275	0
0	1.78926476191545	0.672	0.213	0
0	1.72883686948947	0.924	0.753	0
1.14632245589904e-197	1.68745239612542	0.445	0.261	3.96845371007688e-193
0	1.66988816825927	0.405	0.131	0
0	1.61920027706769	0.366	0.088	0
4.39308824431531e-93	1.49514963160469	0.273	0.159	1.52084321929952e-88
0	1.48229046394687	0.777	0.493	0
5.1178735093066e-255	1.35338800693746	0.41	0.17	1.77175663018685e-250
6.35571354043367e-251	1.31664729545316	0.255	0.049	2.20028447056273e-246
3.42356787632448e-243	1.29428464285247	0.433	0.21	1.18520496310477e-238
0	1.27104900323073	0.76	0.581	0
2.34181077862012e-237	1.27046749774746	0.362	0.142	8.10711473450499e-233
0	1.2308084923893	0.398	0.077	0
0	1.22305600374505	0.482	0.012	0
3.3145563051558e-229	1.18390659837564	0.321	0.107	1.14746624728189e-224
2.71966073924016e-134	1.1646693885119	0.719	0.671	9.4151935131755e-130
2.17868185290373e-109	1.14040662185872	0.457	0.325	7.54237870656743e-105
4.1737818049278e-248	1.09206794587947	0.259	0.054	1.44492152304796e-243
2.14779601786504e-148	1.0705285587333	0.509	0.334	7.435455034247e-144
0.00028501834593702	1.0689260709637	0.402	0.421	1
0	1.06856049479589	0.27	0.022	0
4.35674504000510e-188	1.04964375969151	0.404	0.206	1.50826156539936e-183
8.40147053044638e-300	0.971761960035256	0.254	0.03	2.90850508293523e-295
1.3578982406348e-230	0.965395579894716	0.449	0.22	4.70090791925361e-226
7.25102246592181e-156	0.948655137882309	0.465	0.295	2.51023146747747e-151
2.3023739183532e-205	0.92675628450978	0.462	0.253	7.97058826794695e-201
3.8742664854986e-70	0.905420118039349	0.442	0.346	1.34123231461476e-65
1.09828255883493e-116	0.88468917499008	0.398	0.245	3.80214439043064e-112
0	0.881930036495535	0.751	0.556	0
2.94241408857865e-292	0.879015472483677	0.633	0.426	1.01863433332504e-287
7.07679377085414e-164	0.878853124889695	0.334	0.16	2.449915235532e-159
1.26717125259456e-172	0.842748005431554	0.623	0.456	4.3868201593571e-168
3.04293493766915e-66	0.833711361643145	0.446	0.359	1.05343364607168e-61
8.93703474528787e-177	0.819252865567572	0.439	0.251	3.09391205847121e-172
1.1844956156067e-157	0.810473157634761	0.516	0.328	4.10060537166882e-153
1.12154550643569e-64	0.79151412367126	0.454	0.359	3.8826783887297e-60
1.0676526421713e-306	0.784216712355692	0.655	0.445	3.69610668193283e-302
1.12917986956955e-179	0.78177704817932	0.273	0.096	3.90910779046282e-175
0	0.760576374378447	0.868	0.728	0
1.75457072901432e-61	0.757778983973243	0.323	0.222	6.07414840677466e-57
1.70850941145531e-143	0.755182731342707	0.343	0.174	5.91468873151714e-139
4.37779260240538e-197	0.75034600958695	0.908	0.81	1.51554802102672e-192
